ProfileM	Shape_Leng	ORIG_FID	POINT_X	POINT_Z	POINT_Y
3848.057	174.4896194	2	844981.24	1365438.12	287.94
3848.057	174.4896194	2	844983.29	1365437.56	288.2
3848.057	174.4896194	2	844984.14	1365437.32	288.4
3848.057	174.4896194	2	844984.99	1365437.09	288.61
3848.057	174.4896194	2	844986.2	1365436.76	288.79
3848.057	174.4896194	2	844987.05	1365436.53	288.97
3848.057	174.4896194	2	844987.9	1365436.3	289.15
3848.057	174.4896194	2	844988.75	1365436.07	289.32
3848.057	174.4896194	2	844989.95	1365435.74	289.48
3848.057	174.4896194	2	844990.8	1365435.51	289.69
3848.057	174.4896194	2	844991.65	1365435.28	289.82
3848.057	174.4896194	2	844992.85	1365434.95	289.93
3848.057	174.4896194	2	844993.7	1365434.72	290.04
3848.057	174.4896194	2	844994.55	1365434.49	290.15
3848.057	174.4896194	2	844995.4	1365434.25	290.23
3848.057	174.4896194	2	844996.6	1365433.93	290.31
3848.057	174.4896194	2	844997.45	1365433.7	290.38
3848.057	174.4896194	2	844998.3	1365433.46	290.45
3848.057	174.4896194	2	844999.15	1365433.23	290.51
3848.057	174.4896194	2	845000	1365433	290.55
3848.057	174.4896194	2	845000.36	1365432.95	290.56
3848.057	174.4896194	2	845001.23	1365432.83	290.75
3848.057	174.4896194	2	845002.1	1365432.71	291.09
3848.057	174.4896194	2	845002.97	1365432.59	291.47
3848.057	174.4896194	2	845003.85	1365432.47	291.85
3848.057	174.4896194	2	845005.08	1365432.3	292.22
3848.057	174.4896194	2	845005.96	1365432.18	292.59
3848.057	174.4896194	2	845006.83	1365432.06	292.94
3848.057	174.4896194	2	845007.7	1365431.94	293.29
3848.057	174.4896194	2	845008.57	1365431.82	293.56
3848.057	174.4896194	2	845009.45	1365431.7	293.66
3848.057	174.4896194	2	845010.32	1365431.58	293.72
3848.057	174.4896194	2	845011.19	1365431.46	293.77
3848.057	174.4896194	2	845012.06	1365431.34	293.81
3848.057	174.4896194	2	845012.94	1365431.22	293.86
3848.057	174.4896194	2	845013.81	1365431.1	293.91
3848.057	174.4896194	2	845014.68	1365430.97	293.96
3848.057	174.4896194	2	845015.55	1365430.85	293.99
3848.057	174.4896194	2	845016.43	1365430.73	294.01
3848.057	174.4896194	2	845017.3	1365430.61	294.01
3848.057	174.4896194	2	845018.17	1365430.49	294.03
3848.057	174.4896194	2	845019.04	1365430.37	294.03
3848.057	174.4896194	2	845019.92	1365430.25	294.04
3848.057	174.4896194	2	845020.79	1365430.13	294.04
3848.057	174.4896194	2	845021.66	1365430.01	294.03
3848.057	174.4896194	2	845022.53	1365429.89	294.03
3848.057	174.4896194	2	845023.41	1365429.77	294
3848.057	174.4896194	2	845024.28	1365429.65	294
3848.057	174.4896194	2	845025.15	1365429.53	293.96
3848.057	174.4896194	2	845026.38	1365429.36	293.94
3848.057	174.4896194	2	845027.25	1365429.24	293.91
3848.057	174.4896194	2	845028.13	1365429.12	293.88
3848.057	174.4896194	2	845029	1365429	293.87
3848.057	174.4896194	2	845029	1365429	293.88
3816.663	177.4932778	3	844897	1365515	294
3816.663	177.4932778	3	844897.97	1365514.39	294.04
3816.663	177.4932778	3	844898.66	1365513.95	294.08
3816.663	177.4932778	3	844899.65	1365513.33	294.14
3816.663	177.4932778	3	844901.72	1365512.03	294.23
3816.663	177.4932778	3	844902.69	1365511.41	294.26
3816.663	177.4932778	3	844904.07	1365510.54	294.28
3816.663	177.4932778	3	844904.76	1365510.11	294.28
3816.663	177.4932778	3	844905.74	1365509.49	294.26
3816.663	177.4932778	3	844906.43	1365509.05	294.23
3816.663	177.4932778	3	844907.41	1365508.44	294.19
3816.663	177.4932778	3	844908.79	1365507.57	294.19
3816.663	177.4932778	3	844909.48	1365507.13	294.21
3816.663	177.4932778	3	844910.46	1365506.51	294.24
3816.663	177.4932778	3	844913.51	1365504.59	294.24
3816.663	177.4932778	3	844914.2	1365504.16	294.2
3816.663	177.4932778	3	844915.17	1365503.54	294.15
3816.663	177.4932778	3	844916.15	1365502.93	294.13
3816.663	177.4932778	3	844916.84	1365502.49	294.1
3816.663	177.4932778	3	844917.82	1365501.88	294.06
3816.663	177.4932778	3	844918.51	1365501.44	294.04
3816.663	177.4932778	3	844919.2	1365501.01	293.99
3816.663	177.4932778	3	844919.89	1365500.57	293.9
3816.663	177.4932778	3	844920.87	1365499.95	293.82
